       D_1      total
    0.9537     0.9537
    0.9421     0.9421
    0.9382     0.9382
    0.9421     0.9421
    0.9228     0.9228
    0.9189     0.9189
    0.9266     0.9266
    0.9421     0.9421
    0.9537     0.9537
    0.9305     0.9305
    0.9537     0.9537
    0.9575     0.9575
    0.9691     0.9691
    0.9730     0.9730
    0.9073     0.9073
    0.9266     0.9266
    0.9575     0.9575
    0.9266     0.9266
    0.9575     0.9575
    0.9575     0.9575
    0.9189     0.9189
    0.9614     0.9614
    0.9614     0.9614
    0.9344     0.9344
    0.9575     0.9575
    0.9112     0.9112
    0.9653     0.9653
    0.9614     0.9614
    0.9459     0.9459
    0.9266     0.9266
    0.9498     0.9498
    0.9459     0.9459
    0.9112     0.9112
    0.9035     0.9035
    0.9614     0.9614
    0.9382     0.9382
    0.9537     0.9537
    0.9266     0.9266
    0.9614     0.9614
    0.9305     0.9305
    0.9537     0.9537
    0.9498     0.9498
    0.9768     0.9768
    0.9189     0.9189
    0.9730     0.9730
    0.9459     0.9459
    0.9575     0.9575
    0.9459     0.9459
    0.9537     0.9537
    0.9228     0.9228
    0.9189     0.9189
    0.9614     0.9614
    0.9305     0.9305
    0.9807     0.9807
    0.9112     0.9112
    0.9228     0.9228
    0.9228     0.9228
    0.9305     0.9305
    0.9730     0.9730
    0.9151     0.9151
    0.9730     0.9730
    0.9575     0.9575
    0.9537     0.9537
    0.9421     0.9421
    0.9344     0.9344
    0.9768     0.9768
    0.9421     0.9421
    0.9730     0.9730
    0.9653     0.9653
    0.9305     0.9305
    0.9421     0.9421
    0.8494     0.8494
    0.8764     0.8764
    0.9382     0.9382
    0.9382     0.9382
    0.9575     0.9575
    0.8880     0.8880
    0.9228     0.9228
    0.9266     0.9266
    0.9035     0.9035
    0.9421     0.9421
    0.9653     0.9653
    0.9344     0.9344
    0.9228     0.9228
    0.8340     0.8340
    0.8764     0.8764
    0.8919     0.8919
    0.9151     0.9151
    0.9730     0.9730
    0.9151     0.9151
    0.9768     0.9768
    0.9266     0.9266
    0.9305     0.9305
    0.9537     0.9537
    0.9807     0.9807
    0.9189     0.9189
    0.9151     0.9151
    0.9305     0.9305
    0.9382     0.9382
    0.9691     0.9691
    0.9653     0.9653
    0.9575     0.9575
    0.9228     0.9228
    0.9228     0.9228
    0.9498     0.9498
    0.9575     0.9575
    0.8649     0.8649
    0.9035     0.9035
    0.9112     0.9112
    0.9614     0.9614
    0.9614     0.9614
    0.9537     0.9537
    0.9344     0.9344
    0.9035     0.9035
    0.9112     0.9112
    0.9575     0.9575
    0.9691     0.9691
    0.9498     0.9498
    0.9653     0.9653
    0.9768     0.9768
    0.9768     0.9768
    0.8880     0.8880
    0.9459     0.9459
    0.9228     0.9228
    0.9730     0.9730
    0.9344     0.9344
    0.9768     0.9768
    0.9807     0.9807
    0.9807     0.9807
    0.9575     0.9575
    0.9691     0.9691
    0.9344     0.9344
    0.9575     0.9575
    0.9459     0.9459
    0.9305     0.9305
    0.9614     0.9614
    0.9305     0.9305
    0.9575     0.9575
    0.9189     0.9189
    0.9266     0.9266
    0.9691     0.9691
    0.9189     0.9189
    0.9112     0.9112
    0.9305     0.9305
    0.9537     0.9537
    0.8880     0.8880
    0.9575     0.9575
    0.9421     0.9421
    0.9266     0.9266
    0.9691     0.9691
    0.9382     0.9382
    0.9537     0.9537
    0.9189     0.9189
    0.9112     0.9112
    0.9266     0.9266
    0.9305     0.9305
    0.9691     0.9691
    0.9846     0.9846
    0.9421     0.9421
    0.9421     0.9421
    0.9730     0.9730
    0.9421     0.9421
    0.9459     0.9459
    0.9575     0.9575
    0.9614     0.9614
    0.9498     0.9498
    0.9151     0.9151
    0.9344     0.9344
    0.9228     0.9228
    0.9537     0.9537
    0.9266     0.9266
    0.9575     0.9575
    0.9537     0.9537
    0.9421     0.9421
    0.9691     0.9691
    0.9382     0.9382
    0.9305     0.9305
    0.9653     0.9653
    0.9537     0.9537
    0.9382     0.9382
    0.9691     0.9691
    0.9653     0.9653
    0.9421     0.9421
    0.9151     0.9151
    0.9575     0.9575
    0.9189     0.9189
    0.9421     0.9421
    0.9537     0.9537
    0.9305     0.9305
    0.9730     0.9730
    0.9382     0.9382
    0.9459     0.9459
    0.9459     0.9459
    0.9228     0.9228
    0.9382     0.9382
    0.9537     0.9537
    0.9305     0.9305
    0.9537     0.9537
    0.9575     0.9575
    0.9073     0.9073
    0.9575     0.9575
    0.9614     0.9614
    0.9768     0.9768
    0.9537     0.9537
    0.9846     0.9846
    0.9614     0.9614
    0.9537     0.9537
    0.9653     0.9653
    0.9421     0.9421
    0.9382     0.9382
    0.9266     0.9266
    0.9537     0.9537
    0.9575     0.9575
    0.9421     0.9421
    0.9691     0.9691
    0.9344     0.9344
    0.9035     0.9035
    0.9189     0.9189
    0.9382     0.9382
    0.8996     0.8996
    0.9537     0.9537
    0.9537     0.9537
    0.9846     0.9846
    0.9614     0.9614
    0.9344     0.9344
    0.9730     0.9730
    0.9459     0.9459
    0.9498     0.9498
    0.9266     0.9266
    0.9189     0.9189
    0.9151     0.9151
    0.9498     0.9498
    0.9498     0.9498
    0.9498     0.9498
    0.8880     0.8880
    0.9575     0.9575
    0.9614     0.9614
    0.9305     0.9305
    0.9846     0.9846
    0.9228     0.9228
    0.9498     0.9498
    0.9691     0.9691
    0.9459     0.9459
    0.9459     0.9459
    0.9228     0.9228
    0.9575     0.9575
    0.9653     0.9653
    0.9923     0.9923
    0.9421     0.9421
    0.9498     0.9498
    0.9305     0.9305
    0.9653     0.9653
    0.9691     0.9691
    0.9498     0.9498
    0.9305     0.9305
    0.8919     0.8919
    0.9344     0.9344
    0.9653     0.9653
    0.9691     0.9691
    0.9228     0.9228
    0.9305     0.9305
    0.9459     0.9459
    0.9344     0.9344
    0.8958     0.8958
    0.9614     0.9614
    0.9266     0.9266
    0.9575     0.9575
    0.9459     0.9459
    0.9382     0.9382
    0.9537     0.9537
    0.9575     0.9575
    0.9459     0.9459
    0.9459     0.9459
    0.9305     0.9305
    0.9575     0.9575
    0.9421     0.9421
    0.9691     0.9691
    0.9846     0.9846
    0.9537     0.9537
    0.9421     0.9421
    0.8958     0.8958
    0.9266     0.9266
    0.9112     0.9112
    0.9421     0.9421
    0.9382     0.9382
    0.9344     0.9344
    0.9653     0.9653
    0.9459     0.9459
    0.9151     0.9151
    0.9344     0.9344
    0.9459     0.9459
    0.9730     0.9730
    0.9459     0.9459
    0.9459     0.9459
    0.9653     0.9653
    0.9498     0.9498
    0.9305     0.9305
    0.9498     0.9498
    0.9537     0.9537
    0.9614     0.9614
    0.9653     0.9653
    0.9344     0.9344
    0.9498     0.9498
    0.9653     0.9653
    0.9730     0.9730
    0.9151     0.9151
    0.9382     0.9382
    0.9498     0.9498
    0.9189     0.9189
    0.9305     0.9305
    0.9459     0.9459
    0.9189     0.9189
    0.9537     0.9537
    0.9459     0.9459
    0.9151     0.9151
    0.9459     0.9459
    0.9189     0.9189
    0.9575     0.9575
    0.9344     0.9344
    0.9421     0.9421
    0.9421     0.9421
    0.9498     0.9498
    0.9691     0.9691
    0.9266     0.9266
    0.9382     0.9382
    0.9382     0.9382
    0.9537     0.9537
    0.9151     0.9151
    0.9498     0.9498
    0.9382     0.9382
    0.9112     0.9112
    0.9189     0.9189
    0.9575     0.9575
    0.9846     0.9846
    0.9653     0.9653
    0.9575     0.9575
    0.9730     0.9730
    0.9305     0.9305
    0.9382     0.9382
    0.8919     0.8919
    0.9653     0.9653
    0.9228     0.9228
    0.9305     0.9305
    0.9575     0.9575
    0.9498     0.9498
    0.9266     0.9266
    0.9151     0.9151
    0.9498     0.9498
    0.9653     0.9653
    0.9653     0.9653
    0.9305     0.9305
    0.9730     0.9730
    0.9382     0.9382
    0.9768     0.9768
    0.9575     0.9575
    0.9344     0.9344
    0.9768     0.9768
    0.9035     0.9035
    0.9228     0.9228
    0.9691     0.9691
    0.9807     0.9807
    0.9807     0.9807
    0.9575     0.9575
    0.9807     0.9807
    0.9653     0.9653
    0.9228     0.9228
    0.9730     0.9730
    0.9691     0.9691
    0.9305     0.9305
    0.9459     0.9459
    0.9537     0.9537
    0.9421     0.9421
    0.9691     0.9691
    0.9151     0.9151
    0.9537     0.9537
    0.9807     0.9807
    0.9151     0.9151
    0.9807     0.9807
    0.9498     0.9498
    0.9344     0.9344
    0.9228     0.9228
    0.9614     0.9614
    0.9189     0.9189
    0.9575     0.9575
    0.9691     0.9691
    0.9537     0.9537
    0.9614     0.9614
    0.9459     0.9459
    0.9575     0.9575
    0.9305     0.9305
    0.9305     0.9305
    0.9112     0.9112
    0.9305     0.9305
    0.8996     0.8996
    0.9189     0.9189
    0.9305     0.9305
    0.9498     0.9498
    0.9266     0.9266
    0.9382     0.9382
    0.9382     0.9382
    0.9691     0.9691
    0.9189     0.9189
    0.9382     0.9382
    0.9730     0.9730
    0.9189     0.9189
    0.9846     0.9846
    0.9498     0.9498
    0.9459     0.9459
    0.9382     0.9382
    0.9614     0.9614
    0.9537     0.9537
    0.9537     0.9537
    0.9730     0.9730
    0.9730     0.9730
    0.9382     0.9382
    0.9189     0.9189
    0.9691     0.9691
    0.9537     0.9537
    0.9459     0.9459
    0.9266     0.9266
    0.9498     0.9498
    0.9575     0.9575
    0.9575     0.9575
    0.9073     0.9073
    0.9575     0.9575
    0.9344     0.9344
    0.9459     0.9459
    0.9575     0.9575
    0.9537     0.9537
    0.9653     0.9653
    0.9382     0.9382
    0.9653     0.9653
    0.8880     0.8880
    0.9305     0.9305
    0.9498     0.9498
    0.9421     0.9421
    0.9537     0.9537
    0.9653     0.9653
    0.9691     0.9691
    0.9537     0.9537
    0.9614     0.9614
    0.9537     0.9537
    0.9344     0.9344
    0.9614     0.9614
    0.9730     0.9730
    0.9459     0.9459
    0.9498     0.9498
    0.9151     0.9151
    0.9344     0.9344
    0.9846     0.9846
    0.9189     0.9189
    0.9653     0.9653
    0.9382     0.9382
    0.9498     0.9498
    0.9730     0.9730
    0.9382     0.9382
    0.9614     0.9614
    0.9537     0.9537
    0.9459     0.9459
    0.9653     0.9653
    0.9846     0.9846
    0.9344     0.9344
    0.9575     0.9575
    0.9459     0.9459
    0.9614     0.9614
    0.9073     0.9073
    0.9305     0.9305
    0.9266     0.9266
    0.9266     0.9266
    0.9112     0.9112
    0.9653     0.9653
    0.9653     0.9653
    0.9730     0.9730
    0.9344     0.9344
    0.9730     0.9730
    0.9730     0.9730
    0.9537     0.9537
    1.0000     1.0000
    0.9228     0.9228
    0.9498     0.9498
    0.9228     0.9228
    0.9459     0.9459
    0.9228     0.9228
    0.9112     0.9112
    0.9344     0.9344
    0.9691     0.9691
    0.9459     0.9459
    0.9691     0.9691
    0.9189     0.9189
    0.9653     0.9653
    0.9228     0.9228
    0.9691     0.9691
    0.9498     0.9498
    0.9228     0.9228
    0.9653     0.9653
    0.9653     0.9653
    0.9691     0.9691
    0.9614     0.9614
    0.9189     0.9189
    0.9459     0.9459
    0.9382     0.9382
    0.9575     0.9575
    0.9846     0.9846
    0.9305     0.9305
    0.9691     0.9691
    0.9459     0.9459
    0.9575     0.9575
    0.9305     0.9305
    0.9421     0.9421
    0.9614     0.9614
    0.9691     0.9691
    0.9382     0.9382
    0.9537     0.9537
    0.9189     0.9189
    0.9459     0.9459
    0.9537     0.9537
    0.9459     0.9459
    0.9575     0.9575
    0.9691     0.9691
    0.9228     0.9228
    0.9151     0.9151
    0.9382     0.9382
    0.9421     0.9421
    0.9537     0.9537
    0.9459     0.9459
    0.9537     0.9537
    0.9537     0.9537
    0.9537     0.9537
    0.9459     0.9459
    0.8842     0.8842
    0.9537     0.9537
    0.9112     0.9112
    0.9189     0.9189
    0.9382     0.9382
    0.9421     0.9421
    0.9189     0.9189
    0.9459     0.9459
    0.9691     0.9691
    0.9537     0.9537
    0.9228     0.9228
    0.9653     0.9653
    0.9614     0.9614
    0.9575     0.9575
    0.9691     0.9691
    0.9344     0.9344
    0.9575     0.9575
    0.9614     0.9614
    0.9189     0.9189
    0.9730     0.9730
    0.9807     0.9807
    0.9807     0.9807
    0.9575     0.9575
    0.9344     0.9344
    0.9807     0.9807
    0.9344     0.9344
    0.9305     0.9305
    0.8996     0.8996
    0.9189     0.9189
    0.8880     0.8880
    0.8996     0.8996
    0.9112     0.9112
    0.9653     0.9653
    0.9035     0.9035
    0.9305     0.9305
    0.9768     0.9768
    0.8958     0.8958
    0.9498     0.9498
    0.9305     0.9305
    0.9344     0.9344
    0.9344     0.9344
    0.9305     0.9305
    0.9807     0.9807
    0.9228     0.9228
    0.9537     0.9537
    0.9421     0.9421
    0.9653     0.9653
    0.9035     0.9035
    0.9421     0.9421
    0.9228     0.9228
    0.8842     0.8842
    0.9382     0.9382
    0.9653     0.9653
    0.9189     0.9189
    0.9459     0.9459
    0.9035     0.9035
    0.9112     0.9112
    0.9653     0.9653
    0.9575     0.9575
    0.9498     0.9498
    0.9382     0.9382
    0.9575     0.9575
    0.9498     0.9498
    0.9189     0.9189
    0.9730     0.9730
    0.9575     0.9575
    0.9459     0.9459
    0.9035     0.9035
    0.9266     0.9266
    0.8880     0.8880
    0.9073     0.9073
    0.9344     0.9344
    0.9459     0.9459
    0.9228     0.9228
    0.9653     0.9653
    0.9112     0.9112
    0.8996     0.8996
    0.8649     0.8649
    0.9189     0.9189
    0.9730     0.9730
    0.8726     0.8726
    0.9035     0.9035
    0.9459     0.9459
    0.9459     0.9459
    0.9073     0.9073
    0.9382     0.9382
    0.9498     0.9498
    0.9421     0.9421
    0.9498     0.9498
    0.9537     0.9537
    0.9112     0.9112
    0.9614     0.9614
    0.9344     0.9344
    0.8803     0.8803
    0.9382     0.9382
    0.9459     0.9459
    0.9151     0.9151
    0.9459     0.9459
    0.9228     0.9228
    0.9421     0.9421
    0.9653     0.9653
    0.9498     0.9498
    0.9382     0.9382
    0.9151     0.9151
    0.9305     0.9305
    0.9498     0.9498
    0.9151     0.9151
    0.9537     0.9537
    0.9459     0.9459
    0.9459     0.9459
    0.9382     0.9382
    0.9421     0.9421
    0.9344     0.9344
    0.9344     0.9344
    0.9228     0.9228
    0.9344     0.9344
    0.9421     0.9421
    0.9382     0.9382
    0.9151     0.9151
    0.9189     0.9189
    0.9653     0.9653
    0.8919     0.8919
    0.9344     0.9344
    0.8764     0.8764
    0.9730     0.9730
    0.9459     0.9459
    0.9151     0.9151
    0.9498     0.9498
    0.9073     0.9073
    0.9575     0.9575
    0.9498     0.9498
    0.9730     0.9730
    0.9498     0.9498
    0.9575     0.9575
    0.9382     0.9382
    0.9382     0.9382
    0.9846     0.9846
    0.9305     0.9305
    0.9614     0.9614
    0.9035     0.9035
    0.9575     0.9575
    0.9421     0.9421
    0.9691     0.9691
    0.9112     0.9112
    0.9768     0.9768
    0.9421     0.9421
    0.9691     0.9691
    0.9228     0.9228
    0.9228     0.9228
    0.9382     0.9382
    0.9344     0.9344
    0.9305     0.9305
    0.9151     0.9151
    0.9112     0.9112
    0.9073     0.9073
    0.9035     0.9035
    0.9344     0.9344
    0.8880     0.8880
    0.8958     0.8958
    0.8958     0.8958
    0.9266     0.9266
    0.9228     0.9228
    0.8996     0.8996
    0.9537     0.9537
    0.9073     0.9073
    0.8880     0.8880
    0.8958     0.8958
    0.9035     0.9035
    0.9344     0.9344
    0.9189     0.9189
    0.9305     0.9305
    0.9228     0.9228
    0.9266     0.9266
    0.9575     0.9575
    0.9151     0.9151
    0.9344     0.9344
    0.9344     0.9344
    0.9691     0.9691
    0.9382     0.9382
    0.9344     0.9344
    0.9382     0.9382
    0.8764     0.8764
    0.9344     0.9344
    0.9112     0.9112
    0.9614     0.9614
    0.9807     0.9807
    0.9305     0.9305
    0.9691     0.9691
    0.9459     0.9459
    0.9305     0.9305
    0.9614     0.9614
    0.9421     0.9421
    0.9614     0.9614
    0.9537     0.9537
    0.9266     0.9266
    0.9614     0.9614
    0.9575     0.9575
    0.9691     0.9691
    0.9653     0.9653
    0.9537     0.9537
